$Inflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4458,57.66,0,0,4.989,0,117.3,1342,219.2,22.2,0.1126,3.64E-02,0.19,0.1511,0.1511,0.1511,0.1511,0.1,7.9,10.95,43.73,7.55E-04,7.55E-04,7.55E-04,7.55E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4459,57.66,0,0,4.99,0,115.6,1342,219.2,22.19,0.1132,3.62E-02,0.19,0.1506,0.1506,0.1506,0.1506,0.1,7.9,10.92,43.57,7.53E-04,7.53E-04,7.53E-04,7.53E-04,1.21E-02,1.21E-02,1.21E-02,1.21E-02
4460,57.66,0,0,4.992,0,113.9,1342,219.2,22.18,0.1138,3.61E-02,0.19,0.1502,0.1502,0.1502,0.1502,0.1,7.9,10.89,43.42,7.51E-04,7.51E-04,7.51E-04,7.51E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4461,57.67,0,0,4.993,0,112.1,1342,219.2,22.18,0.1143,3.59E-02,0.19,0.1497,0.1497,0.1497,0.1497,0.1,7.9,10.85,43.27,7.49E-04,7.49E-04,7.49E-04,7.49E-04,1.20E-02,1.20E-02,1.20E-02,1.20E-02
4462,57.67,0,0,4.994,0,110.4,1342,219.2,22.17,0.1149,3.57E-02,0.19,0.1493,0.1493,0.1493,0.1493,0.1,7.9,10.82,43.11,7.46E-04,7.46E-04,7.46E-04,7.46E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4463,57.67,0,0,4.996,0,108.7,1342,219.2,22.16,0.1155,3.56E-02,0.19,0.1488,0.1488,0.1488,0.1488,0.1,7.9,10.78,42.96,7.44E-04,7.44E-04,7.44E-04,7.44E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4464,57.68,0,0,4.997,0,107,1342,219.2,22.15,0.1161,3.54E-02,0.19,0.1484,0.1484,0.1484,0.1484,0.1,7.9,10.75,42.81,7.42E-04,7.42E-04,7.42E-04,7.42E-04,1.19E-02,1.19E-02,1.19E-02,1.19E-02
4465,57.68,0,0,4.998,0,105.3,1342,219.2,22.14,0.1167,3.52E-02,0.19,0.1479,0.1479,0.1479,0.1479,0.1,7.9,10.71,42.65,7.40E-04,7.40E-04,7.40E-04,7.40E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4466,57.69,0,0,5,0,103.6,1342,219.2,22.14,0.1173,3.51E-02,0.19,0.1475,0.1475,0.1475,0.1475,0.1,7.9,10.68,42.5,7.37E-04,7.37E-04,7.37E-04,7.37E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
4467,57.69,0,0,5.001,0,101.9,1342,219.2,22.13,0.1179,3.49E-02,0.19,0.147,0.147,0.147,0.147,0.1,7.9,10.65,42.34,7.35E-04,7.35E-04,7.35E-04,7.35E-04,1.18E-02,1.18E-02,1.18E-02,1.18E-02
