$ QGT_BON_2011_2015_daily_DSS-scaled.csv based on GDACS spill ratios in  QGT_BON_2011_2015_daily_ave.csv ; all outlets scaled to total flow from BONNEVILLE_OUTFLOW.csv
#Units in cubic meters per second; Julian Day 1 is 1899-12-31; The following days have missing data chunks 40544, 41557, 41593, 41600, 41661, 41678, 41687, 41718, 41754, 41823, 41830, 41836, 41845, 41867, 41958, 41971, 41978, 41993, 42154, 42242, 42264, 42296 that are  1009, 13, 2, 3, 3, 2, 2, 3, 2, 3, 3, 6, 2, 3, 3, 2, 2, 2, 2, 14, 4, 20 days long
"JDAY","POWR1","SB1","SB2","SB3","SB4","SB5","SB6","SB7","SB8","SB9","SB10","SB11","SB12","SB13","SB14","SB15","SB16","SB17","SB18","MISC"
40700,7743.283,409.73,415.686,416.873,350.067,357.021,345.153,309.287,315.674,331.193,284.534,297.411,354.32,311.703,350.639,358.484,415.76,404.741,415.501,0
40701,7739.669,443.276,442.849,443.727,371.207,375.602,347.948,335.813,322.549,341.323,300.658,304.257,378.682,335.161,372.325,379.303,442.837,437.832,442.511,0
40702,7992.412,424.183,423.934,424.674,354.908,357.153,332.738,320.712,308.361,327.164,287.758,291.013,363.133,319.23,356.353,362.971,423.898,418.898,423.5,0
40703,7859.247,418.562,418.077,418.844,350.753,352.805,341.938,314.905,303.221,323.823,284.052,287.038,356.936,314.601,351.625,357.675,418.1,412.621,417.806,0
40704,7209.056,440.381,439.379,440.655,369.86,371.542,349.038,335.507,319.89,339.123,298.7,302.275,372.867,334.617,369.883,376.19,439.536,434.698,439.432,0
40705,6901.729,457.822,456.908,458.176,384.027,386.061,369.468,350.934,335.39,350.132,310.52,314.202,388.457,352.442,384.616,391.179,457.052,452.09,456.884,0
40706,6137.834,508.746,507.29,508.933,427.931,428.881,414.74,388.06,372.699,389.103,345.164,348.926,428.163,395.54,427.398,434.075,507.563,501.528,507.606,0
40707,6093.061,516.577,515.011,516.751,434.735,434.851,418.467,390.061,374.338,397.683,350.39,354.439,434.546,396.526,433.765,440.768,515.281,509.415,515.382,0
40708,5973.037,547.205,546.215,547.631,459.067,460.311,403.268,379.255,397.238,454.335,371.217,375.369,464.694,375.466,459.663,467.578,546.365,540.304,546.251,0
40709,6319.306,498.801,497.872,498.888,417.888,420.139,368.381,343.699,359.672,415.195,338.662,341.725,423.674,339.994,418.987,425.625,498.033,490.976,497.885,0
40710,6337.356,526.062,524.31,525.712,427.819,376.258,368.186,362.271,377.429,376.375,357.174,360.414,381.018,362.951,381.74,447.962,524.571,516.782,524.809,0
40711,6300.098,522.7,521.136,522.697,420.095,358.59,361.704,360.396,377.036,360.19,354.657,358.398,365.386,360.234,365.364,445.784,521.397,514.944,521.533,0
40712,6436.157,429.243,500.651,490.621,405.045,391.341,395.209,393.018,413.92,389.986,382.932,390.575,401.227,388.519,394.673,411.956,500.437,510.506,459.244,0
40713,6210.902,430.574,509.534,500.954,429.408,423.926,427.424,425.899,448.68,336.906,409.245,421.464,394.609,421.064,426.857,428.054,512.795,515.296,471.58,0
40714,6050.325,482.706,523.527,490.163,462.504,434.751,438.43,436.365,460.775,140.217,423.673,430.061,310.711,431.578,447.852,464.875,522.021,509.826,495.142,0
