$BON Elev-Tailwater CBT-REV [NAVD88],,
CY2011 - 2015,,12/31/2010
JDAY,ElevFT,
41467,19.58093867,
41468,20.61885533,
41469,20.364272,
41470,20.74343867,
41471,20.24760533,
41472,19.46010533,
41473,19.451772,
41474,19.05593867,
41475,19.85593867,
41476,19.451772,
41477,19.951772,
41478,18.88093867,
41479,17.53093867,
41480,17.55593867,
41481,19.18093867,
41482,17.46010533,
41483,16.62260533,
41484,16.98093867,
41485,17.74343867,
41486,18.26843867,
41487,18.66010533,
41488,17.98510533,
41489,18.13510533,
41490,17.60593867,
41491,17.451772,
41492,18.151772,
41493,18.23093867,
41494,17.18510533,
41495,16.59760533,
41496,17.001772,
41497,15.70593867,
41498,15.84343867,
41499,17.540522,
41500,18.13135533,
41501,16.801772,
41502,16.826772,
41503,16.926772,
41504,16.18510533,
41505,16.39343867,
41506,16.97260533,
41507,16.71843867,
41508,17.00593867,
41509,16.26010533,
41510,15.61010533,
41511,14.51010533,
41512,14.46010533,
41513,14.976772,
41514,15.139272,
41515,15.49760533,
41516,15.626772,
41517,15.69343867,
41518,13.64343867,
41519,12.93093867,
41520,12.90593867,
41521,13.06843867,
41522,12.86010533,
41523,13.06843867,
41524,12.81010533,
41525,12.10593867,
41526,11.814272,
41527,14.23093867,
41528,15.12260533,
41529,14.476772,
41530,14.80593867,
41531,13.73510533,
41532,12.326772,
41533,12.39343867,
41534,14.051772,
41535,13.176772,
41536,13.126772,
41537,14.189272,
41538,12.26010533,
41539,11.75593867,
41540,13.41010533,
41541,12.78093867,
41542,13.14343867,
41543,13.31135533,
41544,12.49760533,
41545,13.19343867,
41546,13.876772,
41547,14.48510533,
41548,15.839272,
41549,16.126772,
41550,14.95593867,
41551,14.68093867,
41552,12.814272,
41553,12.56843867,
41554,12.726772,
41555,13.04760533,
41556,13.576772,
41557,13.69760533,
41558,14.00593867,
41559,14.239272,
41560,13.976772,
41561,14.39343867,
41562,13.67260533,
41563,14.02260533,
41564,15.18510533,
41565,16.189272,
41566,14.63510533,
41567,13.764272,
41568,14.25593867,
41569,14.39760533,
41570,13.99343867,
41571,13.83510533,
41572,12.96010533,
41573,13.114272,
41574,12.114272,
41575,12.38093867,
41576,13.82260533,
41577,13.19760533,
41578,12.54760533,
41579,11.89760533,
41580,12.564272,
41581,13.40593867,
41582,14.73093867,
41583,15.264272,
41584,15.66010533,
41585,15.239272,
41586,14.89343867,
41587,14.84343867,
41588,14.82260533,
41589,14.86010533,
41590,14.95593867,
41591,14.76010533,
41592,14.814272,
41593,14.82260533,
41594,14.839272,
41595,14.839272,
41596,14.85593867,
41597,15.014272,
41598,15.24760533,
41599,15.839272,
41600,15.776772,
41601,15.56843867,
41602,15.08093867,
41603,14.87260533,
41604,14.87260533,
41605,14.83510533,
41606,14.86843867,
41607,14.88510533,
41608,15.24343867,
41609,15.10593867,
41610,16.00593867,
41611,17.28510533,
41612,17.53093867,
41613,17.23093867,
41614,16.91843867,
41615,16.851772,
41616,17.076772,
41617,16.91010533,
41618,16.64760533,
41619,16.66010533,
41620,15.77260533,
41621,15.16843867,
41622,15.13510533,
41623,15.13093867,
41624,15.114272,
41625,15.15593867,
41626,15.351772,
41627,15.79343867,
41628,15.41010533,
41629,15.30593867,
41630,15.11843867,
41631,15.164272,
41632,15.11843867,
41633,15.04343867,
41634,15.08093867,
41635,15.07260533,
41636,14.99760533,
41637,15.04760533,
41638,14.964272,
41639,15.01843867,
41640,14.96843867,
41641,14.98093867,
41642,15.06010533,
41643,15.01843867,
41644,14.951772,
41645,16.02260533,
41646,16.71010533,
41647,16.84343867,
41648,17.139272,
41649,17.07260533,
41650,15.58093867,
41651,17.089272,
41652,17.301772,
41653,15.92260533,
41654,15.67260533,
41655,16.86843867,
41656,16.114272,
41657,15.326772,
41658,15.24343867,
41659,15.57260533,
41660,16.29343867,
41661,15.96843867,
41662,15.28510533,
41663,15.07260533,
41664,14.989272,
41665,14.97260533,
41666,15.03510533,
41667,15.01010533,
41668,15.06010533,
41669,15.014272,
41670,15.29343867,
41671,15.11010533,
41672,15.16010533,
41673,15.11010533,
41674,15.03093867,
41675,15.05593867,
41676,15.03510533,
41677,15.076772,
41678,15.11843867,
41679,15.089272,
41680,15.06843867,
41681,15.06843867,
41682,15.04760533,
41683,15.01843867,
41684,16.74343867,
41685,19.314272,
41686,18.68093867,
41687,19.57260533,
41688,20.00843867,
41689,19.839272,
41690,18.914272,
41691,17.51843867,
41692,17.58510533,
41693,16.889272,
41694,16.514272,
41695,15.46010533,
41696,15.01843867,
41697,15.94760533,
41698,16.74760533,
41699,17.00593867,
41700,18.02260533,
41701,19.30593867,
41702,20.801772,
41703,20.726772,
41704,22.86843867,
41705,24.39343867,
41706,25.31843867,
41707,26.026772,
41708,26.22260533,
41709,26.98510533,
41710,26.939272,
41711,26.089272,
41712,24.68510533,
41713,24.676772,
41714,23.74760533,
41715,24.49760533,
41716,24.34343867,
41717,24.48093867,
41718,24.65593867,
41719,23.439272,
41720,23.701772,
41721,22.74760533,
41722,21.589272,
41723,21.10593867,
41724,21.49343867,
41725,21.86843867,
41726,22.66843867,
41727,22.939272,
41728,24.01010533,
41729,24.59760533,
41730,24.01843867,
41731,23.151772,
41732,23.19760533,
41733,22.34760533,
41734,22.94343867,
41735,22.67260533,
41736,21.776772,
41737,21.56010533,
41738,21.68510533,
41739,23.53093867,
41740,23.03093867,
41741,22.53510533,
41742,22.81843867,
41743,22.376772,
41744,21.75593867,
41745,23.789272,
41746,23.776772,
41747,22.93093867,
41748,23.626772,
41749,24.16843867,
41750,23.464272,
41751,23.44343867,
41752,24.04760533,
41753,24.176772,
41754,24.60593867,
41755,24.76843867,
41756,25.039272,
41757,25.726772,
41758,24.939272,
41759,24.851772,
41760,24.56843867,
41761,23.63093867,
41762,24.089272,
41763,25.49343867,
41764,25.26843867,
41765,27.07260533,
41766,26.41843867,
41767,26.026772,
41768,25.54760533,
41769,25.03510533,
41770,24.95593867,
41771,25.90593867,
41772,26.126772,
41773,24.89343867,
41774,24.589272,
41775,24.35593867,
41776,26.376772,
41777,27.601772,
41778,28.12260533,
41779,28.75593867,
41780,28.01843867,
41781,27.18510533,
41782,27.88510533,
41783,28.78093867,
41784,29.41843867,
41785,28.79343867,
41786,29.489272,
41787,29.51843867,
41788,28.94760533,
41789,28.95635533,
41790,27.960522,
41791,27.226772,
41792,28.601772,
41793,28.201772,
41794,27.589272,
41795,27.451772,
41796,27.339272,
41797,26.626772,
41798,26.51843867,
41799,25.27260533,
41800,25.59343867,
41801,25.14760533,
41802,23.41843867,
41803,23.19343867,
41804,22.926772,
41805,21.87260533,
41806,20.64343867,
41807,21.70593867,
41808,23.589272,
41809,23.28510533,
41810,22.89760533,
41811,23.80593867,
41812,24.785522,
41813,24.96843867,
41814,23.99343867,
41815,24.801772,
41816,24.16843867,
41817,24.65593867,
41818,24.11843867,
41819,24.789272,
41820,25.664272,
41821,25.60593867,
41822,24.88093867,
41823,24.26010533,
41824,24.33093867,
41825,23.66843867,
41826,21.85593867,
41827,22.29343867,
41828,22.86843867,
41829,22.08510533,
41830,21.414272,
41831,21.40593867,
41832,22.31843867,
41833,21.93093867,
41834,20.839272,
41835,19.91843867,
41836,20.73510533,
41837,19.964272,
41838,20.78093867,
41839,18.85593867,
41840,19.19760533,
41841,20.07260533,
41842,18.97260533,
41843,18.38510533,
41844,19.01843867,
41845,20.364272,
41846,20.16843867,
41847,19.89343867,
