$Spokane,International,Airport,met,data,,1/1/2001,to,
Solar,is,from,Odessa,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,Solar,
16.539,-6.1,-7.2,0,0,10,125.45,
16.581,-6.1,-6.7,0,0,10,100.36,
16.622,-6.1,-6.7,0,0,10,68.42,
16.664,-5.6,-6.7,0,0,10,32.52,
16.706,-6.1,-7.2,0,0,10,4.41,
16.747,-6.1,-6.7,0,0,10,0,
16.789,-6.1,-6.7,0,0,10,0,
16.831,-6.1,-6.7,0,0,10,0,
16.872,-5.6,-6.7,0,0,10,0,
16.914,-6.1,-7.2,0,0,10,0,
16.956,-6.1,-7.8,0,0,7.5,0,
16.997,-7.2,-8.3,0,0,10,0,
17.039,-6.1,-6.7,0,0,10,0,
17.081,-7.2,-7.8,0,0,10,0,
17.122,-7.8,-8.3,0,0,10,0,
17.164,-6.7,-7.8,0,0,10,0,
17.206,-6.7,-7.2,0,0,10,0,
17.247,-5.6,-6.7,0,0,10,0,
17.289,-5.6,-6.7,0,0,10,0,
17.331,-5.6,-6.7,0,0,10,2.32,
17.372,-5,-6.1,0,0,10,31.25,
17.414,-5,-6.7,0,0,10,65.51,
17.456,-5,-6.7,0,0,10,86.77,
17.497,-5,-6.7,0,0,10,119.3,
17.539,-4.4,-6.1,0,0,10,142.18,
17.581,-5,-6.7,0,0,10,102.22,
17.622,-5,-6.7,3.09,2.79,10,70.16,
17.664,-5.6,-7.2,1.54,2.62,10,33.57,
17.706,-6.1,-7.2,1.54,2.62,10,5.23,
17.747,-6.1,-7.8,0,0,10,0,
17.789,-6.1,-7.8,1.54,2.44,10,0,
17.831,-6.1,-7.8,0,0,10,0,
17.872,-6.1,-7.2,0,0,10,0,
17.914,-6.1,-7.8,0,0,10,0,
17.956,-6.1,-7.8,0,0,10,0,
17.997,-6.7,-7.8,0,0,10,0,
18.039,-6.1,-7.8,2.57,4.01,10,0,
18.081,-6.1,-7.2,0,0,10,0,
18.122,-6.1,-7.2,2.06,2.44,10,0,
18.164,-6.1,-7.2,0,0,10,0,
18.206,-6.1,-7.2,0,0,10,0,
18.247,-5.6,-7.2,0,0,10,0,
18.289,-5.6,-7.2,0,0,10,0,
18.331,-6.1,-7.2,2.06,2.09,10,2.56,
18.372,-5.6,-6.7,0,0,10,25.79,
18.414,-5,-6.1,1.54,0.52,10,67.14,
