$Chehalis WWTP WQ file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chehalis WWTP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS   ,Gen1(tracer),Gen2(Age),Gen3(FC),ISS,PO4   ,NH4   ,NO3   ,LDOM  ,RDOM  ,LPOM  ,RPOM  ,BOD1,BOD2,BOD3,BOD4,BOD5,BOD6,BOD7,BOD8,BOD9,BOD10,BODP1,BODP2,BODP3,BODP4,BODP5,BODP6,BODP7,BODP8,BODP9,BODP10,BODN1,BODN2,BODN3,BODN4,BODN5,BODN6,BODN7,BODN8,BODN9,BODN10,ALG1  ,DO    ,TIC   ,ALK   ,ZOO1  ,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
60,0,0,0,3.0,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,2.72,27.3768,55.2,0,0,0,0,0,0,0,0,0
61,0,0,0,6.6,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,2.52,36.7709,76.4,0,0,0,0,0,0,0,0,0
62,0,0,0,6.6,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,2.72,34.8776,76.4,0,0,0,0,0,0,0,0,0
63,0,0,0,2,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,8.2,37.6388,56.5,0,0,0,0,0,0,0,0,0
64,0,0,0,4.0,14.72114286,0.43,0.53,2.7,0,0,0,0,0,0,0,0,4.9276,19.7104,0,0,0,0,0,0,0,0,0.049276,0.197104,0,0,0,0,0,0,0,0,0.394208,1.576832,0,0,0,0,0,3.01,25.3025,58.9,0,0,0,0,0,0,0,0,0
65,0,0,0,2,22.90742857,0.43,1.04,2.7,0,0,0,0,0,0,0,0,11.5824,46.3296,0,0,0,0,0,0,0,0,0.115824,0.463296,0,0,0,0,0,0,0,0,0.926592,3.706368,0,0,0,0,0,2.14,29.3367,53.1,0,0,0,0,0,0,0,0,0
66,0,0,0,4.0,7.294857143,0.43,0.61,2.7,0,0,0,0,0,0,0,0,3.6068,14.4272,0,0,0,0,0,0,0,0,0.036068,0.144272,0,0,0,0,0,0,0,0,0.288544,1.154176,0,0,0,0,0,3.1,27.3768,57,0,0,0,0,0,0,0,0,0
67,0,0,0,10.0,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,2.47,34.7378,56,0,0,0,0,0,0,0,0,0
68,0,0,0,6.6,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,5.6,37.4646,76.4,0,0,0,0,0,0,0,0,0
69,0,0,0,6.6,35.54228571,0.43,0.57,2.7,0,0,0,0,0,0,0,0,9.8552,39.4208,0,0,0,0,0,0,0,0,0.098552,0.394208,0,0,0,0,0,0,0,0,0.788416,3.153664,0,0,0,0,0,3.57,37.4361,76.4,0,0,0,0,0,0,0,0,0
