$Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY 1.0= 1/1/2000 12am,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JDAY,TDS,H2S,CH4,SO4,Tracer,Cond,TCol,ECol,ISS1,PO4,NH4,NO3,LDOM,RDOM,LPOM,RPOM,ALG1,DO,TIC,ALK,LDOM-P,RDOM-P,LPOM-P,RPOM-P,LDOM-N,RDOM-N,LPOM-N,RPOM-N
4441,85.3,0,0,5.031,0,99.29,1620,265.8,1.706,0.1104,5.00E-02,0.11,0.1581,0.1581,0.1581,0.1581,0.1,7.9,15.37,57.9,7.91E-04,7.91E-04,7.91E-04,7.91E-04,1.27E-02,1.27E-02,1.27E-02,1.27E-02
4442,85.16,0,0,5.033,0,100.1,1620,265.8,1.796,0.1104,5.00E-02,0.11,0.1575,0.1575,0.1575,0.1575,0.1,7.9,15.3,57.66,7.88E-04,7.88E-04,7.88E-04,7.88E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4443,85.02,0,0,5.034,0,101,1620,265.8,1.886,0.1105,5.00E-02,0.11,0.1569,0.1569,0.1569,0.1569,0.1,7.9,15.23,57.42,7.85E-04,7.85E-04,7.85E-04,7.85E-04,1.26E-02,1.26E-02,1.26E-02,1.26E-02
4444,84.88,0,0,5.036,0,101.9,1620,265.8,1.976,0.1106,5.00E-02,0.11,0.1563,0.1563,0.1563,0.1563,0.1,7.9,15.16,57.18,7.82E-04,7.82E-04,7.82E-04,7.82E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4445,84.74,0,0,5.038,0,102.7,1620,265.8,2.067,0.1107,5.00E-02,0.11,0.1557,0.1557,0.1557,0.1557,0.1,7.9,15.09,56.94,7.79E-04,7.79E-04,7.79E-04,7.79E-04,1.25E-02,1.25E-02,1.25E-02,1.25E-02
4446,84.6,0,0,5.039,0,103.6,1620,265.8,2.157,0.1108,5.00E-02,0.11,0.1551,0.1551,0.1551,0.1551,0.1,7.9,15.02,56.7,7.76E-04,7.76E-04,7.76E-04,7.76E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4447,84.46,0,0,5.041,0,104.4,1620,265.8,2.247,0.1109,5.00E-02,0.11,0.1545,0.1545,0.1545,0.1545,0.1,7.9,14.95,56.46,7.73E-04,7.73E-04,7.73E-04,7.73E-04,1.24E-02,1.24E-02,1.24E-02,1.24E-02
4448,84.32,0,0,5.042,0,105.3,1620,265.8,2.337,0.1109,5.00E-02,0.11,0.1539,0.1539,0.1539,0.1539,0.1,7.9,14.88,56.22,7.70E-04,7.70E-04,7.70E-04,7.70E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4449,84.18,0,0,5.044,0,106.1,1620,265.8,2.427,0.111,5.00E-02,0.11,0.1533,0.1533,0.1533,0.1533,0.1,7.9,14.81,55.98,7.67E-04,7.67E-04,7.67E-04,7.67E-04,1.23E-02,1.23E-02,1.23E-02,1.23E-02
4450,84.04,0,0,5.046,0,107,1620,265.8,2.517,0.1111,5.00E-02,0.11,0.1527,0.1527,0.1527,0.1527,0.1,7.9,14.74,55.74,7.64E-04,7.64E-04,7.64E-04,7.64E-04,1.22E-02,1.22E-02,1.22E-02,1.22E-02
