$Reservoir distributed tributary flows - calculated using water balance QDT=outflows-inflows
JDAY 1.0= 1/1/2000 12am
JDAY,QDT,
  5042.0,   67.98,
  5043.0,   98.20,
  5044.0,   53.45,
  5045.0,   29.56,
  5046.0,   13.52,
  5047.0,   36.03,
  5048.0,  176.69,
  5049.0,  115.23,
  5050.0,  -15.02,
  5051.0,   32.20,
  5052.0,   12.40,
  5053.0,  -23.20,
  5054.0,   50.95,
  5055.0,   70.30,
  5056.0,   18.41,
  5057.0,  -26.72,
  5058.0,  -17.55,
  5059.0,  -16.33,
  5060.0,  -18.11,
  5061.0,   29.42,
  5062.0,  103.81,
  5063.0,   10.18,
  5064.0,    1.86,
  5065.0,    1.51,
  5066.0,   15.82,
  5067.0,   40.90,
  5068.0,   20.04,
  5069.0,   -5.47,
  5070.0,  -11.54,
  5071.0,   -9.18,
  5072.0,   18.74,
  5073.0,   -5.30,
  5074.0,  -10.80,
  5075.0,  -12.60,
  5076.0,  -13.22,
  5077.0,  -20.44,
  5078.0,    0.24,
  5079.0,    1.81,
  5080.0,  -19.02,
  5081.0,   -4.90,
  5082.0,  -11.57,
  5083.0,  -15.02,
  5084.0,  -14.06,
  5085.0,  -14.32,
  5086.0,  -12.88,
  5087.0,  -11.83,
  5088.0,  -11.44,
  5089.0,  -12.31,
  5090.0,   -8.74,
  5091.0,  -10.76,
  5092.0,  -12.86,
  5093.0,   -4.99,
  5094.0,   -6.20,
  5095.0,   -4.26,
  5096.0,   -0.64,
  5097.0,  -14.64,
  5098.0,   -2.99,
  5099.0,    2.75,
  5100.0,   -1.69,
  5101.0,   -1.49,
  5102.0,   -0.53,
  5103.0,   -6.29,
  5104.0,   -4.57,
  5105.0,   -4.86,
  5106.0,   -4.53,
  5107.0,   -3.62,
  5108.0,   -3.55,
  5109.0,   -4.44,
  5110.0,   -5.38,
  5111.0,   -0.43,
  5112.0,   -0.06,
  5113.0,    1.92,
  5114.0,    0.48,
  5115.0,   -0.15,
  5116.0,   -2.23,
  5117.0,    3.59,
  5118.0,    1.87,
  5119.0,   -6.94,
  5120.0,    0.74,
  5121.0,   -8.05,
  5122.0,    4.12,
  5123.0,   -0.59,
  5124.0,   -0.62,
  5125.0,    3.12,
  5126.0,    1.70,
  5127.0,    2.02,
  5128.0,    2.88,
  5129.0,    4.51,
  5130.0,    3.77,
  5131.0,    3.92,
  5132.0,    4.60,
  5133.0,    3.99,
  5134.0,    4.95,
  5135.0,    2.05,
  5136.0,    6.35,
  5137.0,    5.21,
  5138.0,    4.95,
  5139.0,    4.70,
  5140.0,    4.99,
  5141.0,    5.12,
  5142.0,    5.08,
  5143.0,    5.14,
  5144.0,    4.75,
