$spokane temperature and wind data data -2000,,,,,,
cloud cover based on odessa short wave solar data,,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD,
19.581,-3.9,-6.7,3.6,0.7,0,
19.622,-2.8,-6.7,3.09,0.35,0,
19.664,-3.3,-7.2,3.6,0.35,0,
19.706,-4.4,-7.8,4.12,0.52,0,
19.747,-4.4,-7.8,4.12,0.7,0,
19.789,-3.9,-7.2,2.57,0.35,0,
19.831,-3.9,-7.2,2.06,6.28,0,
19.872,-4.4,-7.8,3.6,0.52,0,
19.914,-4.4,-7.8,4.12,0.35,0,
19.956,-4.4,-7.8,3.6,0.35,0,
19.997,-3.9,-7.8,3.6,0.87,0,
20.039,-4.4,-6.1,3.6,0.35,7.88,
20.081,-4.4,-6.1,3.6,0.17,7.88,
20.122,-5,-5.6,3.6,0.7,7.88,
20.164,-5,-5.6,3.6,0.52,7.88,
20.206,-5,-5.6,0,0,7.88,
20.247,-4.4,-5.6,0,0,7.88,
20.289,-4.4,-5,0,0,7.88,
20.331,-4.4,-5,2.57,2.27,7.88,
20.372,-3.9,-4.4,3.09,2.97,7.88,
20.414,-3.9,-4.4,4.12,3.49,7.88,
20.456,-4.4,-5,3.6,3.67,7.88,
20.497,-4.4,-5,3.09,3.49,7.88,
20.539,-3.9,-4.4,0,0,7.88,
20.581,-3.9,-4.4,2.06,1.4,7.88,
20.622,-3.3,-4.4,2.06,1.75,7.88,
20.664,-3.3,-4.4,2.57,0.87,7.88,
20.706,-2.8,-4.4,2.57,1.22,7.88,
20.747,-3.3,-3.9,3.09,0.7,7.88,
20.789,-3.3,-3.9,3.09,0.52,7.88,
20.831,-3.3,-3.9,3.09,0.52,7.88,
20.872,-3.9,-4.4,2.57,0.7,7.88,
20.914,-3.3,-4.4,3.09,0.52,7.88,
20.956,-3.3,-4.4,2.57,0.52,7.88,
20.997,-3.3,-4.4,2.57,1.05,7.88,
21.039,-3.3,-3.9,0,0,8.36,
21.081,-3.3,-3.9,0,0,8.36,
21.122,-3.3,-3.9,0,0,8.36,
21.164,-2.8,-3.3,1.54,3.32,8.36,
21.206,-2.8,-3.3,3.6,3.32,8.36,
21.247,-2.8,-3.3,3.09,2.97,8.36,
21.289,-2.8,-3.9,3.09,2.97,8.36,
21.331,-2.8,-3.9,3.09,3.14,8.36,
21.372,-3.3,-4.4,2.57,3.49,8.36,
21.414,-2.8,-3.9,3.09,3.84,8.36,
21.456,-2.8,-3.9,2.57,3.67,8.36,
21.497,-2.2,-3.3,2.06,3.67,8.36,
21.539,-1.7,-2.8,2.06,3.84,8.36,
21.581,-1.7,-3.3,0,0,8.36,
21.622,-1.7,-2.8,1.54,4.71,8.36,
21.664,-1.7,-2.8,2.57,3.84,8.36,
21.706,-1.7,-2.8,2.57,3.67,8.36,
21.747,-1.7,-2.8,2.06,3.67,8.36,
21.789,-2.2,-2.8,1.54,2.97,8.36,
21.831,-1.7,-3.3,1.54,2.62,8.36,
21.872,-1.7,-3.3,0,0,8.36,
21.914,-2.2,-2.8,2.06,2.97,8.36,
21.956,-2.2,-3.3,0,0,8.36,
21.997,-2.2,-3.3,0,0,8.36,
22.039,-2.2,-2.8,0,0,9.95,
22.081,-2.2,-2.8,0,0,9.95,
22.122,-2.8,-3.3,2.06,0.7,9.95,
22.164,-2.8,-3.3,2.57,0.35,9.95,
22.206,-2.8,-3.3,0,0,9.95,
22.247,-2.8,-3.3,2.06,6.11,9.95,
22.289,-2.8,-3.3,1.54,5.93,9.95,
22.331,-2.8,-3.3,0,0,9.95,
22.372,-2.8,-3.3,0,0,9.95,
22.414,-2.8,-3.3,2.57,2.79,9.95,
22.456,-2.8,-3.3,3.6,3.67,9.95,
22.497,-2.8,-3.3,3.6,3.84,9.95,
22.539,-2.8,-3.9,3.6,3.67,9.95,
22.581,-2.8,-3.9,1.54,4.01,9.95,
22.622,-2.8,-3.9,2.06,3.84,9.95,
22.664,-3.3,-4.4,0,0,9.95,
22.706,-3.3,-4.4,1.54,4.71,9.95,
22.747,-3.3,-4.4,0,0,9.95,
22.789,-3.3,-4.4,0,0,9.95,
22.831,-3.3,-4.4,0,0,9.95,
22.872,-3.3,-4.4,2.06,2.09,9.95,
22.914,-3.3,-4.4,3.09,2.09,9.95,
22.956,-3.3,-4.4,0,0,9.95,
22.997,-3.3,-3.9,2.57,0.35,9.95,
23.039,-3.3,-4.4,1.54,1.4,4.77,
23.081,-3.3,-4.4,2.57,0.87,4.77,
23.122,-3.3,-4.4,4.12,0.87,4.77,
23.164,-2.8,-4.4,2.57,0.35,4.77,
23.206,-3.3,-4.4,3.6,0.35,4.77,
23.247,-3.3,-4.4,3.6,0.35,4.77,
23.289,-3.3,-4.4,4.12,0.7,4.77,
23.331,-3.9,-5,3.6,0.7,4.77,
23.372,-3.9,-5.6,4.63,0.52,4.77,
23.414,-2.8,-5.6,4.63,0.7,4.77,
23.456,-2.2,-5,5.66,0.87,4.77,
23.497,-1.7,-4.4,4.63,0.87,4.77,
23.539,-1.1,-4.4,4.63,0.87,4.77,
23.581,-0.6,-3.9,4.63,0.87,4.77,
