$Temperature file for segment 86,,
,,
JDAY,T,
11.5,5.85,
11.51,5.86,
11.52,5.87,
11.53,5.87,
11.54,5.88,
11.55,5.89,
11.56,5.9,
11.57,5.9,
11.58,5.91,
11.59,5.91,
11.6,5.92,
11.61,5.93,
11.62,5.93,
11.63,5.94,
11.64,5.94,
11.65,5.95,
11.66,5.95,
11.67,5.96,
11.68,5.96,
11.69,5.97,
11.7,5.97,
11.71,5.98,
11.72,5.98,
11.73,5.99,
11.74,5.99,
11.75,6,
11.76,6,
11.77,6.01,
11.78,6.02,
11.79,6.02,
11.8,6.03,
11.81,6.04,
11.82,6.05,
11.83,6.05,
11.84,6.06,
11.85,6.07,
11.86,6.07,
11.87,6.08,
11.88,6.09,
11.89,6.09,
11.9,6.09,
11.91,6.1,
11.92,6.1,
11.93,6.1,
11.94,6.11,
11.95,6.11,
11.96,6.11,
11.97,6.11,
11.98,6.11,
11.99,6.11,
12,6.11,
12.01,6.11,
12.02,6.1,
12.03,6.1,
12.04,6.09,
12.05,6.08,
12.06,6.07,
12.07,6.07,
12.08,6.06,
12.09,6.05,
12.1,6.05,
12.11,6.04,
12.12,6.03,
12.13,6.03,
12.14,6.02,
12.15,6.01,
12.16,6.01,
12.17,6,
12.18,5.99,
12.19,5.99,
12.2,5.98,
12.21,5.97,
12.22,5.96,
12.23,5.96,
12.24,5.95,
12.25,5.94,
12.26,5.93,
12.27,5.92,
12.28,5.92,
12.29,5.91,
12.3,5.9,
12.31,5.89,
12.32,5.89,
12.33,5.88,
12.34,5.87,
12.35,5.86,
12.36,5.86,
12.37,5.85,
12.38,5.85,
12.39,5.85,
12.4,5.85,
12.41,5.85,
12.42,5.86,
12.43,5.86,
12.44,5.87,
12.45,5.87,
12.46,5.88,
12.47,5.89,
12.48,5.9,
12.49,5.91,
12.5,5.92,
12.51,5.93,
12.52,5.94,
12.53,5.95,
12.54,5.96,
12.55,5.97,
12.56,5.98,
12.57,6,
12.58,6.01,
12.59,6.02,
12.6,6.03,
12.61,6.03,
12.62,6.04,
12.63,6.05,
12.64,6.05,
12.65,6.06,
12.66,6.06,
12.67,6.06,
12.68,6.06,
12.69,6.06,
12.7,6.06,
12.71,6.06,
12.72,6.06,
12.73,6.07,
12.74,6.07,
12.75,6.07,
12.76,6.07,
12.77,6.08,
12.78,6.08,
12.79,6.08,
12.8,6.09,
12.81,6.09,
12.82,6.1,
12.83,6.1,
12.84,6.1,
12.85,6.1,
12.86,6.11,
12.87,6.11,
12.88,6.11,
12.89,6.11,
12.9,6.11,
12.91,6.11,
12.92,6.1,
12.93,6.1,
12.94,6.09,
12.95,6.09,
12.96,6.08,
12.97,6.08,
12.98,6.07,
12.99,6.06,
13,6.06,
13.01,6.05,
13.02,6.05,
13.03,6.04,
13.04,6.04,
13.05,6.03,
13.06,6.02,
13.07,6.02,
13.08,6.01,
13.09,6.01,
13.1,6,
13.11,5.99,
13.12,5.99,
13.13,5.98,
13.14,5.98,
13.15,5.97,
13.16,5.97,
13.17,5.96,
13.18,5.96,
13.19,5.96,
13.2,5.95,
13.21,5.95,
13.22,5.95,
13.23,5.94,
13.24,5.94,
13.25,5.94,
13.26,5.94,
13.27,5.94,
13.28,5.94,
13.29,5.94,
13.3,5.94,
13.31,5.94,
13.32,5.94,
13.33,5.95,
13.34,5.95,
13.35,5.95,
13.36,5.96,
13.37,5.96,
13.38,5.97,
13.39,5.97,
13.4,5.98,
13.41,5.98,
13.42,5.99,
13.43,6,
13.44,6,
13.45,6.01,
13.46,6.02,
13.47,6.03,
13.48,6.04,
13.49,6.05,
13.5,6.06,
13.51,6.07,
13.52,6.09,
13.53,6.1,
13.54,6.11,
13.55,6.12,
13.56,6.13,
13.57,6.13,
13.58,6.14,
13.59,6.15,
13.6,6.15,
13.61,6.16,
13.62,6.16,
13.63,6.17,
13.64,6.17,
13.65,6.18,
13.66,6.18,
13.67,6.18,
13.68,6.19,
13.69,6.19,
13.7,6.19,
13.71,6.19,
13.72,6.19,
13.73,6.19,
13.74,6.2,
13.75,6.2,
13.76,6.2,
13.77,6.2,
13.78,6.2,
13.79,6.2,
13.8,6.2,
13.81,6.2,
13.82,6.2,
13.83,6.2,
13.84,6.2,
13.85,6.2,
13.86,6.2,
13.87,6.2,
13.88,6.19,
13.89,6.19,
13.9,6.19,
13.91,6.18,
13.92,6.18,
13.93,6.18,
13.94,6.17,
13.95,6.17,
13.96,6.17,
13.97,6.16,
13.98,6.16,
13.99,6.16,
14,6.15,
14.01,6.15,
14.02,6.15,
14.03,6.14,
14.04,6.14,
14.05,6.14,
14.06,6.13,
14.07,6.13,
14.08,6.13,
14.09,6.12,
14.1,6.12,
14.11,6.12,
14.12,6.11,
14.13,6.11,
14.14,6.11,
14.15,6.11,
14.16,6.11,
14.17,6.1,
14.18,6.1,
14.19,6.1,
14.2,6.1,
14.21,6.1,
14.22,6.1,
14.23,6.1,
14.24,6.1,
14.25,6.09,
14.26,6.09,
14.27,6.09,
14.28,6.09,
14.29,6.09,
14.3,6.09,
14.31,6.09,
14.32,6.09,
14.33,6.08,
14.34,6.08,
14.35,6.08,
14.36,6.08,
14.37,6.08,
14.38,6.08,
14.39,6.08,
14.4,6.08,
14.41,6.09,
14.42,6.09,
14.43,6.09,
14.44,6.09,
14.45,6.1,
14.46,6.11,
14.47,6.11,
14.48,6.12,
14.49,6.13,
14.5,6.14,
14.51,6.14,
14.52,6.15,
14.53,6.16,
14.54,6.16,
14.55,6.17,
14.56,6.17,
14.57,6.18,
14.58,6.18,
14.59,6.18,
14.6,6.19,
14.61,6.19,
14.62,6.19,
14.63,6.19,
14.64,6.19,
14.65,6.19,
14.66,6.19,
14.67,6.19,
14.68,6.18,
14.69,6.18,
14.7,6.18,
14.71,6.18,
14.72,6.18,
14.73,6.18,
14.74,6.18,
14.75,6.18,
14.76,6.18,
14.77,6.18,
14.78,6.18,
14.79,6.18,
14.8,6.18,
14.81,6.18,
14.82,6.18,
14.83,6.18,
14.84,6.18,
14.85,6.18,
14.86,6.18,
14.87,6.17,
14.88,6.17,
14.89,6.17,
14.9,6.16,
14.91,6.16,
14.92,6.15,
14.93,6.14,
14.94,6.14,
14.95,6.13,
14.96,6.12,
14.97,6.11,
14.98,6.1,
14.99,6.1,
15,6.09,
15.01,6.08,
15.02,6.07,
15.03,6.06,
15.04,6.05,
15.05,6.04,
15.06,6.03,
15.07,6.02,
15.08,6.01,
15.09,5.99,
15.1,5.98,
15.11,5.97,
15.12,5.96,
15.13,5.94,
15.14,5.93,
15.15,5.92,
15.16,5.91,
15.17,5.9,
15.18,5.89,
15.19,5.88,
15.2,5.87,
15.21,5.86,
15.22,5.85,
15.23,5.84,
15.24,5.83,
15.25,5.83,
15.26,5.82,
15.27,5.82,
15.28,5.81,
15.29,5.81,
15.3,5.8,
15.31,5.79,
15.32,5.79,
15.33,5.79,
15.34,5.78,
15.35,5.78,
15.36,5.78,
15.37,5.78,
15.38,5.79,
15.39,5.79,
15.4,5.79,
15.41,5.8,
15.42,5.8,
15.43,5.81,
15.44,5.82,
15.45,5.82,
15.46,5.83,
15.47,5.84,
15.48,5.85,
15.49,5.86,
15.5,5.87,
15.51,5.88,
15.52,5.89,
15.53,5.9,
15.54,5.91,
15.55,5.92,
